"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"CS","111","Introduction to Centering Divs","2653","Computer Science","48","40","12","3","1","0","0","0","0","0","0","0","0","0","0","1","Erlich Bachman","105"
"CS","111","Introduction to Centering Divs","2653","Computer Science","38","42","14","4","2","0","0","0","0","0","0","0","0","0","0","1","Richard Hendricks","101"
"CS","111","Introduction to Centering Divs","2653","Computer Science","30","35","20","5","2","0","0","0","0","0","0","0","0","0","0","2","Jian-Yang","94"
"CS","211","Using Stack Overflow","2653","Computer Science","25","38","22","6","3","0","0","0","0","0","0","0","0","0","0","2","Mac","96"
"CS","211","Using Stack Overflow","2653","Computer Science","18","30","28","10","4","0","0","0","0","0","0","0","0","0","0","1","Mac","91"
"CS","251","The Art of Googling","2653","Computer Science","35","40","16","4","2","0","0","0","0","0","0","0","0","0","0","1","Gilfoyle","98"
"CS","251","The Art of Googling","2653","Computer Science","28","35","20","5","2","0","0","0","0","0","0","0","0","0","0","1","Erlich Bachman","91"
"CS","301","Advanced Tab vs. Space Debating","2653","Computer Science","42","38","12","3","1","0","0","0","0","0","0","0","0","0","0","1","Dinesh Chugtai","97"
"CS","342","Making Friends with the Compiler","2653","Computer Science","40","42","12","3","1","0","0","0","0","0","0","0","0","0","0","1","Dinesh Chugtai","99"
"CS","342","Making Friends with the Compiler","2653","Computer Science","25","32","22","6","3","0","0","0","0","0","0","0","0","0","0","1","Dinesh Chugtai","89"
"CS","377","Freeing Memory","2653","Computer Science","25","30","22","8","4","0","0","0","0","0","0","0","0","0","0","1","Gilfoyle","90"
"CS","377","Freeing Memory","2653","Computer Science","18","25","26","10","5","0","0","0","0","0","0","0","0","0","0","2","Gilfoyle","86"
"CS","400","Navigating BSB","2653","Computer Science","50","38","10","2","1","0","0","0","0","0","0","0","0","0","0","1","Mac","102"
"CS","400","Navigating BSB","2653","Computer Science","38","42","14","3","1","0","0","0","0","0","0","0","0","0","0","1","Dennis Reynolds","99"
"CS","400","Navigating BSB","2653","Computer Science","28","35","20","6","3","0","0","0","0","0","0","0","0","0","0","2","Dee Reynolds","94"
"CS","440","UIC WiFi: A Case Study","2653","Computer Science","22","28","25","10","5","0","0","0","0","0","0","0","0","0","0","3","Charlie Kelly","93"
"CS","450","Securing Nuclear Codes","2653","Computer Science","25","35","22","8","4","0","0","0","0","0","0","0","0","0","0","2","Dennis Reynolds","96"
"MATH","180","Introduction to Counting","2634","Mathematics","48","42","18","5","3","0","0","0","0","0","0","0","0","0","0","2","Frank Reynolds","118"
"MATH","180","Introduction to Counting","2634","Mathematics","35","38","22","8","4","0","0","0","0","0","0","0","0","0","0","2","Bill Ponderosa","109"
"MATH","180","Introduction to Counting","2634","Mathematics","40","40","14","4","2","0","0","0","0","0","0","0","0","0","0","1","Mammootty","101"
"MATH","210","Advanced Counting","2634","Mathematics","35","40","15","5","2","0","0","0","0","0","0","0","0","0","0","1","Rickety Cricket","98"
"MATH","220","Imaginary Numbers for Imaginary Problems","2634","Mathematics","22","28","20","8","5","0","0","0","0","0","0","0","0","0","0","2","Dennis Reynolds","85"
"PHYS","141","Dropping Things","2640","Physics","42","42","20","5","2","0","0","0","0","0","0","0","0","0","0","1","Dee Reynolds","112"
"PHYS","141","Dropping Things","2640","Physics","28","35","28","10","5","0","0","0","0","0","0","0","0","0","0","2","Rickety Cricket","108"
"PHYS","141","Dropping Things","2640","Physics","20","30","25","12","6","0","0","0","0","0","0","0","0","0","0","2","Artemis","95"
"PHYS","142","Dropping Things Faster","2640","Physics","30","40","25","8","4","0","0","0","0","0","0","0","0","0","0","2","Artemis","109"
"PHYS","142","Dropping Things Faster","2640","Physics","22","32","28","10","5","0","0","0","0","0","0","0","0","0","0","3","Dee Reynolds","100"
"CHEM","101","Introduction to Coffee Testing","2655","Chemistry","50","38","10","2","1","0","0","0","0","0","0","0","0","0","0","1","Walter White","102"
"CHEM","101","Introduction to Coffee Testing","2655","Chemistry","35","42","15","4","2","0","0","0","0","0","0","0","0","0","0","1","Charlie Kelly","99"
"CHEM","112","Things That May or May Not Explode","2655","Chemistry","45","40","10","3","1","0","0","0","0","0","0","0","0","0","0","1","Walter White","100"
"CHEM","112","Things That May or May Not Explode","2655","Chemistry","28","32","20","8","4","0","0","0","0","0","0","0","0","0","0","2","Rickety Cricket","94"
"PSYCH","100","Does Free Will Exist?","2692","Psychology","52","38","10","2","1","0","0","0","0","0","0","0","0","0","0","1","Dennis Reynolds","104"
"PSYCH","100","Does Free Will Exist?","2692","Psychology","42","40","12","3","1","0","0","0","0","0","0","0","0","0","0","1","Mohanlal","99"
"PSYCH","242","The Meaning of Life","2692","Psychology","48","38","10","2","1","0","0","0","0","0","0","0","0","0","0","1","Nazriya Nazim","100"
"PSYCH","270","Why Did I Choose This Major","2692","Psychology","35","38","16","5","3","0","0","0","0","0","0","0","0","0","0","2","Big Head","99"
"PSYCH","315","Dealing with Failing a Course","2692","Psychology","45","40","10","2","1","0","0","0","0","0","0","0","0","0","0","1","Nazriya Nazim","99"
"PSYCH","315","Dealing with Failing a Course","2692","Psychology","32","38","18","5","2","0","0","0","0","0","0","0","0","0","0","1","Rickety Cricket","96"
"HIST","101","A Brief History of UIC Construction","2690","History","38","42","14","4","2","0","0","0","0","0","0","0","0","0","0","1","Gavin Belson","101"
"HIST","101","A Brief History of UIC Construction","2690","History","32","40","18","5","2","0","0","0","0","0","0","0","0","0","0","1","Mammootty","98"
"HIST","225","Unions, Why They Matter","2690","History","42","38","14","3","1","0","0","0","0","0","0","0","0","0","0","1","Laurie Bream","99"
"ANTH","100","Making Friends","2841","Anthropology","60","28","6","1","0","0","0","0","0","0","0","0","0","0","0","1","Jared Dunn","96"
"ANTH","100","Making Friends","2841","Anthropology","48","35","12","2","1","0","0","0","0","0","0","0","0","0","0","1","Erlich Bachman","99"
"ANTH","100","Making Friends","2841","Anthropology","38","40","14","3","1","0","0","0","0","0","0","0","0","0","0","1","Nazriya Nazim","97"
"ANTH","101","Talking to Strangers on the Blue Line","2841","Anthropology","28","38","22","6","3","0","0","0","0","0","0","0","0","0","0","2","Rickety Cricket","99"
"ANTH","239","Watching Bird Watchers","2841","Anthropology","45","38","12","3","1","0","0","0","0","0","0","0","0","0","0","1","Rickety Cricket","100"
"ANTH","300","Finding a Place to Sit","2841","Anthropology","50","32","12","3","1","0","0","0","0","0","0","0","0","0","0","1","Big Head","99"
"ACTG","210","Counting Other People's Money","2656","Accounting","48","38","10","3","1","0","0","0","0","0","0","0","0","0","0","1","Gavin Belson","100"
"ACTG","210","Counting Other People's Money","2656","Accounting","38","40","14","4","2","0","0","0","0","0","0","0","0","0","0","1","Russ Hanneman","99"
"ACTG","315","Counting Your Student Loans","2656","Accounting","28","38","22","8","4","0","0","0","0","0","0","0","0","0","0","2","Frank Reynolds","102"
"ACTG","315","Counting Your Student Loans","2656","Accounting","20","30","25","10","5","0","0","0","0","0","0","0","0","0","0","2","Laurie Bream","92"
